Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
3 to 8 Years,BBA,Part-Time,Mechanical Engineer,HVAC Engineer,Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,"Specialize in heating, ventilation, and air conditioning (HVAC) systems design. Calculate HVAC load requirements and design energy-efficient systems. Ensure compliance with HVAC standards."
4 to 10 Years,M.Com,Intern,Data Engineer,Big Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance."
1 to 13 Years,M.Tech,Part-Time,Network Administrator,Network Engineer,"Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail","Design, configure, and maintain network infrastructure. Troubleshoot network issues and optimize performance. Collaborate with IT teams on network projects."
2 to 15 Years,M.Com,Temporary,Customer Support Specialist,Technical Support Specialist,"Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation","Provide technical assistance to customers, troubleshoot issues, and resolve inquiries through various communication channels. Maintain accurate records of customer interactions and solutions. Collaborate with other support teams for complex issues."
5 to 14 Years,MCA,Part-Time,HR Coordinator,Benefits Coordinator,Employee benefits administration Benefits compliance HRIS Benefits communication,"Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits."
2 to 14 Years,M.Com,Contract,Network Technician,Network Security Specialist,Network security Cybersecurity Intrusion detection Security analysis Firewall management,"Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements."
0 to 13 Years,MCA,Contract,Graphic Designer,Print Graphic Designer,"Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge","Design printed materials such as brochures, posters, and packaging. Choose appropriate printing methods and materials. Collaborate with print vendors and ensure quality output."
4 to 13 Years,PhD,Part-Time,HR Manager,HR Compliance Specialist,Employment law knowledge Compliance management Auditing skills Employee relations Communication skills,Ensure HR policies and practices comply with legal and regulatory requirements. Conduct audits and investigations. Provide guidance on compliance issues.
0 to 12 Years,BA,Contract,Wedding Planner,Wedding Designer,Wedding design concepts Decor selection and arrangement Creative flair,"Focus on the visual and aesthetic aspects of weddings, including decor, floral arrangements, and styling. Create design concepts and layouts. Oversee setup and decoration on the wedding day."
1 to 12 Years,B.Tech,Part-Time,Legal Assistant,Paralegal,"Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
5 to 8 Years,BA,Full-Time,Accountant,Tax Accountant,Tax preparation Tax planning Tax regulations Accounting Tax software proficiency,"Prepare and file tax returns, provide tax planning advice, and address tax-related issues. Stay up-to-date on tax laws and regulations. Assist clients with tax compliance and planning."
1 to 10 Years,PhD,Full-Time,Technical Writer,Content Writer,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,"Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences."
1 to 9 Years,PhD,Part-Time,Marketing Manager,Brand Manager,Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills,"Manage the overall brand identity, create marketing campaigns, and ensure brand consistency across all materials and touchpoints. Monitor brand performance and reputation. Collaborate with creative teams on branding materials."
5 to 9 Years,MBA,Part-Time,Social Media Manager,Social Media Analyst,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes.
